,ID,NAME,Lat,Lon,ELEVATION,State
641714,US1TXCMR044,"BROWNSVILLE 4.2 NE, TX US",25.973819,-97.442553,8.2,TX
641964,USC00417184,"PORT MANSFIELD, TX US",26.5577,-97.4263,2.7,TX
642053,US1TXWC0007,"PORT MANSFIELD 0.6 WSW, TX US",26.55077,-97.43409,2.7,TX
643137,US1TXCMR106,"RIO HONDO 10.0 NE, TX US",26.3261,-97.4574,1.8,TX
669597,USC00413210,"FLOUR BLUFF, TX US",27.65,-97.28333,2.7,TX
669600,US1TXNU0056,"CORPUS CHRISTI 4.0 S, TX US",27.6485424041748,-97.2835311889648,1.5,TX
671076,US1TXNU0024,"CORPUS CHRISTI 4.3 S, TX US",27.73949,-97.39034,14.0,TX
671264,US1TXNU0025,"CORPUS CHRISTI 4.3 WSW, TX US",27.67955,-97.35689,7.0,TX
671276,US1TXNU0053,"CORPUS CHRISTI 3.4 WSW, TX US",27.685976,-97.3436432,4.3,TX
672112,US1TXNU0010,"FLOUR BLUFF 1.6 SW, TX US",27.661316,-97.303112,5.2,TX
672120,USC00411073,"BRIGHTON, TX US",27.65,-97.3,3.0,TX
672213,USW00012926,"CORPUS CHRISTI NAS, TX US",27.68786,-97.29158,4.7,TX
672338,US1TXRF0003,"WOODSBORO 3.6 S, TX US",28.18638,-97.31462,11.0,TX
672573,US1TXNU0031,"CORPUS CHRISTI 4.1 SW, TX US",27.6642,-97.3407,3.4,TX
672583,USC00413619,"GOLIAD 6 NE, TX US",28.71667,-97.33333,46.0,TX
672590,US1TXSP0018,"PORTLAND 1.3 NW, TX US",27.892892,-97.340161,11.3,TX
672598,US1TXSP0009,"PORTLAND 1.2 NW, TX US",27.893114,-97.338318,11.0,TX
673058,US1TXNU0092,"CORPUS CHRISTI 3.1 WNW, TX US",27.717188,-97.341997,7.3,TX
673070,US1TXNU0097,"CORPUS CHRISTI 2.0 WNW, TX US",27.71261,-97.324308,4.0,TX
679208,USC00411651,"CHAPMAN RANCH, TX US",27.58917,-97.45472,7.6,TX
679349,USC00412011,"CORPUS CHRISTI NWS, TX US",27.7793,-97.5055,13.4,TX
679356,USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",27.77335,-97.51302,12.5,TX
679780,US1TXCMR045,"BAYVIEW 2.9 N, TX US",26.1669,-97.3983,7.9,TX
680104,USC00412013,"C C BOTANICAL GARDENS, TX US",27.6606,-97.3983,4.9,TX
680118,US1TXNU0021,"CORPUS CHRISTI 3.2 SSW, TX US",27.754709,-97.403791,9.8,TX
680201,USC00419559,"WELDER W LIFE FOUNDATION, TX US",28.1136,-97.4177,15.2,TX
680280,US1TXNU0057,"CORPUS CHRISTI 7.2 WSW, TX US",27.6843528747559,-97.4086380004883,7.6,TX
680716,USW00012946,"CORPUS CHRISTI CABANISS FIELD NAVAL OUTLYING FIELD, TX US",27.7,-97.43333,9.1,TX
680721,US1TXGD0008,"GOLIAD 4.1 NW, TX US",28.710324,-97.439919,65.8,TX
681395,US1TXGD0027,"GOLIAD 6.5 WNW, TX US",28.702768,-97.491219,75.0,TX
681407,US1TXDW0004,"YORKTOWN 0.4 E, TX US",28.98247,-97.49812,93.9,TX
689910,USC00417990,"SAN PERLITA, TX US",26.5,-97.6,6.1,TX
690375,USC00417677,"ROBSTOWN, TX US",27.7895,-97.662,25.9,TX
690566,US1TXSP0006,"ODEM 7.8 NW, TX US",28.02976,-97.67252,34.1,TX
691857,US1TXSP0010,"ODEM 3.5 ESE, TX US",27.924911,-97.534842,22.6,TX
691869,USC00419953,"YORKTOWN, TX US",28.9802,-97.5185,79.2,TX
692625,US1TXNU0068,"ROBSTOWN 6.2 ENE, TX US",27.845392,-97.574259,21.3,TX
692638,USC00418354,"SINTON, TX US",28.10106,-97.56895,25.0,TX
692645,US1TXNU0019,"CALALLEN 3.5 SSE, TX US",27.8501,-97.5989,25.0,TX
692689,US1TXKS0014,"NORDHEIM 6.8 S, TX US",28.8261733,-97.6263387,110.3,TX
692696,US1TXDW0021,"NORDHEIM 1.0 WSW, TX US",28.9155,-97.6273,119.2,TX
692700,US1TXGD0004,"GOLIAD 14.5 WNW, TX US",28.742355,-97.615537,79.9,TX
692835,US1TXBEE005,"BEEVILLE 6.8 ESE, TX US",28.35939,-97.651,57.0,TX
692846,US1TXGZ0012,"SMILEY 0.4 NNE, TX US",29.277005,-97.635888,91.7,TX
705362,US1TXNU0040,"CORPUS CHRISTI 6.5 WSW, TX US",27.6573928,-97.38446153,4.9,TX
716642,US1TXNU0073,"CORPUS CHRISTI 3.6 S, TX US",27.653903,-97.289577,3.4,TX
722022,US1TXNU0029,"CORPUS CHRISTI 5.4 WSW, TX US",27.664299,-97.367595,7.0,TX
722174,US1TXNU0018,"CORPUS CHRISTI 6.1 WSW, TX US",27.671759,-97.384949,9.1,TX
722182,US1TXNU0043,"CORPUS CHRISTI 5.7 WSW, TX US",27.669,-97.376,5.5,TX
733760,US1TXNU0045,"CORPUS CHRISTI 6.7 WSW, TX US",27.68435,-97.39975,7.3,TX
735065,US1TXGZ0010,"GONZALES 4.5 SSE, TX US",29.446073,-97.425052,80.8,TX
738002,US1TXNU0009,"CORPUS CHRISTI 6.4 WSW, TX US",27.686549,-97.395051,11.0,TX
760818,US1TXNU0038,"CORPUS CHRISTI 4.8 W, TX US",27.808389,-97.470553,13.1,TX
767149,US1TXNU0072,"CORPUS CHRISTI 6.6 WNW, TX US",27.7319,-97.396704,10.1,TX
767161,US1TXNU0004,"CORPUS CHRISTI 8.0 WNW, TX US",27.751962,-97.412868,14.0,TX
767358,US1TXNU0052,"CORPUS CHRISTI 4.8 SSE, TX US",27.7336578369141,-97.3799057006836,7.6,TX
770358,US1TXNU0090,"CORPUS CHRISTI 5.1 WNW, TX US",27.736549,-97.368309,6.7,TX
771365,US1TXNU0015,"CORPUS CHRISTI 9.1 NW, TX US",27.802861,-97.393186,,TX
771369,US1TXNU0066,"CORPUS CHRISTI 8.0 NW, TX US",27.773781,-97.39901,10.7,TX
772788,US1TXNU0089,"CORPUS CHRISTI 5.6 WNW, TX US",27.734241,-97.378678,9.4,TX
772789,US1TXNU0051,"CORPUS CHRISTI 6.4 NW, TX US",27.7572231292725,-97.3797302246094,8.5,TX
777821,USC00412014,"CORPUS CHRISTI, TX US",27.8,-97.4,3.0,TX
810801,US1TXNU0020,"CORPUS CHRISTI 3.6 W, TX US",27.706121,-97.351788,7.0,TX
815070,US1TXSP0017,"PORTLAND 2.4 NE, TX US",27.902295,-97.298807,8.8,TX
815780,USC00417195,"PORTLAND, TX US",27.87652,-97.31643,9.1,TX
864816,US1TXNU0080,"ROBSTOWN 3.6 N, TX US",27.85173,-97.66082,27.7,TX
868393,US1TXGZ0021,"GONZALES 4.4 NNW, TX US",29.5645398,-97.4814345,110.9,TX
868397,US1TXGZ0034,"GONZALES 6.7 NNW, TX US",29.6011049,-97.4815463,125.3,TX
868412,US1TXGZ0028,"GONZALES 8.7 SSW, TX US",29.3851,-97.4767,84.7,TX
868422,US1TXCLD018,"DALE 7.3 SE, TX US",29.85765674579,-97.4713924527168,169.5,TX
868472,US1TXDW0034,"YORKTOWN 4.2 SE, TX US",28.94469,-97.4504,69.5,TX
868480,USW00000477,"ROGER M DREYER MEMORIAL AIRPORT, TX US",29.5291,-97.4643,108.2,TX
879282,US1TXSP0003,"ODEM 0.3 W, TX US",27.944968,-97.592146,27.1,TX
889050,USC00417529,"REFUGIO, TX US",28.3,-97.28333,14.9,TX
889069,US1TXRF0008,"REFUGIO 1.0 NNW, TX US",28.321171,-97.279701,18.3,TX
889452,USC00417533,"REFUGIO 2 NW, TX US",28.3294,-97.2947,13.7,TX
